Ref,Val,Package,PosX,PosY,Rot,Side
"R11","100K","C_0201_0603Metric",64.135000,-137.200000,0.000000,bottom
"R12","100K","C_0201_0603Metric",64.135000,-136.311000,0.000000,bottom
"C1","4.7nF","C_0201_0603Metric",58.520000,-136.890000,-90.000000,top
"C2","100pF","C_0201_0603Metric",58.480000,-135.205000,90.000000,top
"C3","100pF","C_0201_0603Metric",58.500000,-138.560000,-90.000000,top
"C4","100nF","C_0201_0603Metric",62.357000,-133.477000,0.000000,top
"C5","10uF","C_0201_0603Metric",69.342000,-136.017000,0.000000,top
"C6","100nF","C_0201_0603Metric",69.342000,-135.255000,0.000000,top
"C7","10uF","C_0201_0603Metric",63.500000,-128.600000,0.000000,top
"C8","100nF","C_0201_0603Metric",63.500000,-129.381000,0.000000,top
"C9","10uF","C_0201_0603Metric",60.600000,-127.000000,0.000000,top
"C10","100nF","C_0201_0603Metric",60.600000,-127.900000,0.000000,top
"C11","4.7uF","C_0201_0603Metric",69.340000,-136.800000,0.000000,top
"C12","47nF","C_0201_0603Metric",70.160000,-132.635000,-90.000000,top
"C13","1uF","C_0201_0603Metric",70.852500,-124.224000,90.000000,top
"C14","4.7nF","C_0201_0603Metric",71.920000,-132.600000,90.000000,top
"C15","10uF","C_0201_0603Metric",73.752500,-123.224000,0.000000,top
"C16","100nF","C_0201_0603Metric",73.748500,-122.380000,0.000000,top
"C17","1uF","C_0201_0603Metric",69.452500,-121.524000,180.000000,top
"C18","1uF","C_0201_0603Metric",65.852500,-122.924000,-90.000000,top
"D1","PESD5V0X1BL-N","PESD5V0X1BL-N",54.991000,-135.255000,90.000000,top
"D2","PESD5V0X1BL-N","PESD5V0X1BL-N",54.991000,-138.557000,-90.000000,top
"FB1","BLM18SP102SH1D","BLM18SP102SH1D",61.000000,-129.100000,0.000000,top
"J1","GH125-S02CCA-00","GH125-S02CCA-00",49.340000,-136.840000,-90.000000,top
"J2","GH125-S06DCA-00","GH125-S06DCA-00",49.340000,-126.780000,-90.000000,top
"J3","GH125-S03DCA-00","GH125-S03DCA-00",75.660000,-134.990000,90.000000,top
"R1","49.9","C_0201_0603Metric",56.134000,-135.255000,90.000000,top
"R2","49.9","C_0201_0603Metric",56.134000,-138.557000,-90.000000,top
"R3","0","C_0201_0603Metric",54.936000,-127.089000,180.000000,top
"R4","0","C_0201_0603Metric",54.900000,-128.100000,180.000000,top
"R5","100K","C_0201_0603Metric",54.936000,-126.200000,0.000000,top
"R6","49.9K","C_0201_0603Metric",55.306000,-130.683000,0.000000,top
"R7","5.49K","C_0201_0603Metric",55.306000,-131.572000,0.000000,top
"R8","499","C_0201_0603Metric",55.342000,-132.461000,0.000000,top
"R9","49.9","C_0201_0603Metric",55.306000,-133.350000,0.000000,top
"R10","100K","C_0201_0603Metric",54.936000,-128.989000,0.000000,top
"R13","100K","C_0201_0603Metric",69.342000,-134.366000,180.000000,top
"R14","68K","C_0201_0603Metric",69.350000,-137.610000,180.000000,top
"R15","1K","C_0201_0603Metric",71.880000,-130.370000,0.000000,top
"R16","10K","C_0201_0603Metric",67.350000,-130.380000,180.000000,top
"R17","0","C_0201_0603Metric",74.468500,-124.024000,180.000000,top
"R18","28.7K","C_0201_0603Metric",69.320000,-132.635000,-90.000000,top
"R19","100","C_0201_0603Metric",71.010000,-132.620000,-90.000000,top
"R20","100","C_0201_0603Metric",71.918500,-122.380000,0.000000,top
"SW1","DSHP02TSGET","DSHP02TSGET",58.700000,-123.900000,90.000000,top
"U1","ADG704BRMZ-REEL","ADG704BRMZ-REEL",59.739000,-131.842000,-90.000000,top
"U2","AD8421BRZ-RL","AD8421BRZ-RL",64.435000,-136.652000,-90.000000,top
"U3","OPA2197QDGKRQ1","OPA2197QDGKRQ1",69.630000,-128.110000,180.000000,top
"U4","REF2030AIDDCR","REF2030AIDDCR",68.362500,-123.650000,0.000000,top
