"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","4.7nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C2","1","100pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C3","1","100pF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C4","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C5","1","10uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C6","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C7","1","10uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C8","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C9","1","10uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C10","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C11","1","4.7uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C12","1","47nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C13","1","1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C14","1","4.7nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C15","1","10uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C16","1","100nF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C17","1","1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C18","1","1uF","","","","Capacitor_SMD:C_0201_0603Metric","~"
"D1","1","PESD5V0X1BL-N","","","","kicad_api_lib:PESD5V0X1BL-N","http://file.elecfans.com/web2/M00/2D/11/pYYBAGHgz1mAEUm-AA8dWF2AiNY088.pdf?PESD5V0X1BL-N_BORN.pdf"
"D2","1","PESD5V0X1BL-N","","","","kicad_api_lib:PESD5V0X1BL-N","http://file.elecfans.com/web2/M00/2D/11/pYYBAGHgz1mAEUm-AA8dWF2AiNY088.pdf?PESD5V0X1BL-N_BORN.pdf"
"FB1","1","BLM18SP102SH1D","","","","kicad_api_lib:BLM18SP102SH1D","http://file.elecfans.com/web2/M00/68/EE/pYYBAGMenFWAaP8uAAR1ILJMPwE674.pdf"
"J1","1","GH125-S02CCA-00","","","","kicad_api_lib:GH125-S02CCA-00","http://file.elecfans.com/web2/M00/64/4D/pYYBAGMEXLeANb8EAC0OPq7eKKk998.pdf"
"J2","1","GH125-S06DCA-00","","","","kicad_api_lib:GH125-S06DCA-00","http://file.elecfans.com/web2/M00/63/B2/poYBAGMEXDWAGFkUAC0h_TLlAYk302.pdf"
"J3","1","GH125-S03DCA-00","","","","kicad_api_lib:GH125-S03DCA-00","http://file.elecfans.com/web2/M00/63/B2/poYBAGMEXDWAGFkUAC0h_TLlAYk302.pdf"
"R1","1","49.9","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R2","1","49.9","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R3","1","0","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R4","1","0","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R5","1","100K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R6","1","49.9K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R7","1","5.49K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R8","1","499","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R9","1","49.9","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R10","1","100K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R11","1","100K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R12","1","100K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R13","1","100K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R14","1","68K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R15","1","1K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R16","1","10K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R17","1","0","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R18","1","28.7K","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R19","1","100","","","","Capacitor_SMD:C_0201_0603Metric","~"
"R20","1","100","","","","Capacitor_SMD:C_0201_0603Metric","~"
"SW1","1","DSHP02TSGET","","","","kicad_api_lib:DSHP02TSGET","http://file.elecfans.com/web1/M00/97/C2/o4YBAF0RxyKAOIoEAAUAABo7KVQ436.pdf"
"U1","1","ADG704BRMZ-REEL","","","","kicad_api_lib:ADG704BRMZ-REEL","http://file.elecfans.com/web1/M00/8D/D8/o4YBAFyuniqAfmVvAAG7NIIwQww001.pdf"
"U2","1","AD8421BRZ-RL","","","","kicad_api_lib:AD8421BRZ-RL","http://file.elecfans.com/web2/M00/57/BC/poYBAGLjYI2APiwrAAxzUTUnAnI505.pdf"
"U3","1","OPA2197QDGKRQ1","","","","kicad_api_lib:OPA2197QDGKRQ1","http://file.elecfans.com/web2/M00/27/9E/pYYBAGHClmCAcvTQADWp4hjCe20039.pdf"
"U4","1","REF2030AIDDCR","","","","kicad_api_lib:REF2030AIDDCR","http://file.elecfans.com/web2/M00/82/8F/pYYBAGOT1DuALW3-ACrOS8t1dNc766.pdf"
